#{"t_start": 1662025462.7324343, "env_id": null}
r,l,t,is_success
-13.039886,12,53.941326,
-17.777779,8,55.749923,
-1.782053,13,58.533612,
-20.0,7,60.554327,
-24.0,8,63.254444,
-16.0,4,64.786734,
-35.77778,18,67.56295,
-16.0,5,69.766068,
-9.926639,5,71.970871,
-41.926636,9,73.86557,
-11.777779,10,76.170306,
-16.0,4,78.355169,
-12.888889,6,79.955858,
-1.8575535,21,84.396896,
-22.88889,11,87.341355,
-20.0,6,89.38777,
-13.03989,28,95.704684,
-9.928776,11,98.06339,
-11.777778,5,99.782981,
-13.557694,18,103.517413,
